symbol,report_period,announcement_date,line_item_name_source,line_item_value,unit_canonical
600438,2023-06-30,2023-08-22,PARENT_NETPROFIT,1.32702e+10,CNY_yuan
600438,2023-06-30,2023-08-22,TOTAL_OPERATE_INCOME,7.40682e+10,CNY_yuan
600438,2023-09-30,2023-10-26,PARENT_NETPROFIT,1.63016e+10,CNY_yuan
600438,2023-09-30,2023-10-26,TOTAL_OPERATE_INCOME,1.11421e+11,CNY_yuan
600438,2023-12-31,2024-04-30,PARENT_NETPROFIT,1.35739e+10,CNY_yuan
600438,2023-12-31,2024-04-30,TOTAL_OPERATE_INCOME,1.39104e+11,CNY_yuan
600438,2024-03-31,2024-04-30,PARENT_NETPROFIT,-7.86737e+08,CNY_yuan
600438,2024-03-31,2024-04-30,TOTAL_OPERATE_INCOME,1.95704e+10,CNY_yuan
600438,2024-06-30,2024-08-31,PARENT_NETPROFIT,-3.12945e+09,CNY_yuan
600438,2024-06-30,2024-08-31,TOTAL_OPERATE_INCOME,4.37971e+10,CNY_yuan
600438,2024-09-30,2024-10-31,PARENT_NETPROFIT,-3.97326e+09,CNY_yuan
600438,2024-09-30,2024-10-31,TOTAL_OPERATE_INCOME,6.82725e+10,CNY_yuan
600438,2024-12-31,2025-04-30,PARENT_NETPROFIT,-7.03876e+09,CNY_yuan
600438,2024-12-31,2025-04-30,TOTAL_OPERATE_INCOME,9.19944e+10,CNY_yuan
600438,2025-03-31,2025-04-30,PARENT_NETPROFIT,-2.59275e+09,CNY_yuan
600438,2025-03-31,2025-04-30,TOTAL_OPERATE_INCOME,1.59334e+10,CNY_yuan
600438,2025-06-30,2025-08-23,PARENT_NETPROFIT,-4.95537e+09,CNY_yuan
600438,2025-06-30,2025-08-23,TOTAL_OPERATE_INCOME,4.05088e+10,CNY_yuan
600438,2025-09-30,2025-10-25,PARENT_NETPROFIT,-5.27016e+09,CNY_yuan
600438,2025-09-30,2025-10-25,TOTAL_OPERATE_INCOME,6.45997e+10,CNY_yuan
600438,2025-12-31,2026-04-30,PARENT_NETPROFIT,-9.55343e+09,CNY_yuan
600438,2025-12-31,2026-04-30,TOTAL_OPERATE_INCOME,8.41283e+10,CNY_yuan
600438,2026-03-31,2026-04-30,PARENT_NETPROFIT,-2.44441e+09,CNY_yuan
600438,2026-03-31,2026-04-30,TOTAL_OPERATE_INCOME,1.21251e+10,CNY_yuan
