file,source_kind,official_page_url,official_data_url,business_date,size_bytes,sha256,historical_capability,evidence_grade,validation_status,notes
reports/stage8_security_status_szse_historical_snapshot_audit/20260806_154939/szse_all_product_list_page.html,official_page_shell,https://www.szse.cn/,N/A,N/A,27650,ae43d40b6e72cf50c500499a0608ade04bd6d647d7022ab39ee60962e328da9b,CURRENT_ONLY,CURRENT_ONLY,NOT_BOUNDARY_EVIDENCE,页面本身无历史状态数据。
reports/stage8_security_status_szse_historical_snapshot_audit/20260806_154939/szse_data_services_english.html,official_data_product_doc,https://www.szse.cn/,N/A,N/A,66491,3acc0c2ca398e8ce049629274d5a05dab8406cd73586a052702dd257b5bf5818,SUBSCRIPTION_ONLY,SUBSCRIPTION_ONLY,NOT_PUBLIC_DOWNLOAD,官方说明存在历史证券信息/证券状态数据，但需授权。
reports/stage8_security_status_szse_historical_snapshot_audit/20260806_154939/szse_listed_securities_202607.html,official_monthly_aggregate_table,https://www.szse.cn/,N/A,2026-07-31,10373,d2636572aacccd17145a0272eff9aab9d0a1d9e958d6b2abfbfcca19f242dfde,AGGREGATE_ONLY,AGGREGATE_ONLY,NOT_PER_SECURITY,仅列出各类证券总数，不按证券给出状态。
reports/stage8_security_status_szse_historical_snapshot_audit/20260806_154939/szse_monthly_202507.html,other,https://www.szse.cn/,N/A,,8974,0654239de38bb1a10299abedaf2605e7e6563cabc4536cb46fd5b48a636ca739,UNKNOWN,UNKNOWN,UNKNOWN,
reports/stage8_security_status_szse_historical_snapshot_audit/20260806_154939/szse_monthly_202507_index.html,official_monthly_index,https://www.szse.cn/,N/A,2025-07/2026-07,22137,14327872550bab75dbb71461c49e13088a7a136512da38fc86e7dfccd69fccb3,INDEX_ONLY,INDEX_ONLY,NOT_BOUNDARY_EVIDENCE,月报目录页。
reports/stage8_security_status_szse_historical_snapshot_audit/20260806_154939/szse_monthly_202607.html,other,https://www.szse.cn/,N/A,,14830,8e013bd400135663214b4dfe117c2964c14ca051fed8f327d96f07c2a59aa181,UNKNOWN,UNKNOWN,UNKNOWN,
reports/stage8_security_status_szse_historical_snapshot_audit/20260806_154939/szse_monthly_202607_index.html,official_monthly_index,https://www.szse.cn/,N/A,2025-07/2026-07,20107,8b7dcc3b00597abce973fd8c82e561ffa58b217a82a433aa6d9ccca2c1583418,INDEX_ONLY,INDEX_ONLY,NOT_BOUNDARY_EVIDENCE,月报目录页。
reports/stage8_security_status_szse_historical_snapshot_audit/20260806_154939/szse_monthly_index.html,other,https://www.szse.cn/,N/A,,121645,c0a79e9508cffaedeff19b8d09714257fd4f437218bfa19f817b472a256f475c,UNKNOWN,UNKNOWN,UNKNOWN,
reports/stage8_security_status_szse_historical_snapshot_audit/20260806_154939/szse_risk_warning_page.html,official_page_shell,https://www.szse.cn/,N/A,N/A,32499,e743e9486649b2cd71912c1a0b9bd5e460169be6f9d8f6e8206cfa64a8f24452,CURRENT_ONLY,CURRENT_ONLY,NOT_BOUNDARY_EVIDENCE,页面本身无历史状态数据。
reports/stage8_security_status_szse_historical_snapshot_audit/20260806_154939/szse_stock_list_page.html,official_page_shell,https://www.szse.cn/,N/A,N/A,27632,ce51450c3072976fb40683cc66f48eb7bb62da260b056383f2114065502579fd,CURRENT_ONLY,CURRENT_ONLY,NOT_BOUNDARY_EVIDENCE,页面本身无历史状态数据。
