source_id,symbol,source_kind,file,document_date,official_url,sha256,evidence_role,historical_capability,evidence_grade,validation_status,note
szse-risk-warning-plate-20260806,SZ,risk_warning_plate,data/manual/stage8/security_status/sources/SZ/szse_risk_warning_plate_2026-08-06.json,2026-08-06,https://www.szse.cn/api/report/ShowReport/data?SHOWTYPE=JSON&CATALOGID=fxjsb&PAGENO=1&random=0.253180924626982717,c114f1da4d97f5ada62e43e24c5fbd3c4f922a229100ec13387bcedec8b4ba7d,CURRENT_STATUS_SUPPORT_ONLY,CURRENT_ONLY,CURRENT_ONLY,NOT_BOUNDARY_EVIDENCE,风险警示板接口仅返回当前名单，无历史日期参数。
szse-stock-list-000100-20260806,000100,exchange_stock_list,data/manual/stage8/security_status/sources/SZ/000100/szse_stock_list_000100_2026-08-06.json,2026-08-06,https://www.szse.cn/api/report/ShowReport/data?SHOWTYPE=JSON&CATALOGID=1110&TABKEY=tab1&txtDMorJC=000100&PAGENO=1&random=0.725742600650652547,00a2fe09f35d449ea955f3691b0172e053259f1fb4bafb45188ec203a80f8041,CURRENT_STATUS_SUPPORT_ONLY,CURRENT_ONLY,CURRENT_ONLY,NOT_BOUNDARY_EVIDENCE,A股列表接口返回当前列表，metadata.subname为当前日期，无历史日期参数。
szse-ann-000100-all-p1-20250806,000100,announcement_search_result,data/manual/stage8/security_status/sources/SZ/000100/szse_announcements_000100_all_p01.json,2025-07-25,https://www.szse.cn/api/disc/announcement/annList,9a30f7bd7cf2b08080c7ed3d120d21b6d5425b087882a98ed80680b8fd37f3d2,EVENT_SEARCH_SUPPORT_ONLY,EVENT_SEARCH_ONLY,EVENT_SEARCH_ONLY,NOT_BOUNDARY_EVIDENCE,公告检索支持seDate日期范围，但只反映公告事件，不能证明历史证券状态快照。
szse-ann-000100-all-p2-20250806,000100,announcement_search_result,data/manual/stage8/security_status/sources/SZ/000100/szse_announcements_000100_all_p02.json,2025-07-25,https://www.szse.cn/api/disc/announcement/annList,bb10b51f9c08555cbe9aa95fe3430471fdf5c766996653c7aa5fb1618e8de1d1,EVENT_SEARCH_SUPPORT_ONLY,EVENT_SEARCH_ONLY,EVENT_SEARCH_ONLY,NOT_BOUNDARY_EVIDENCE,公告检索支持seDate日期范围，但只反映公告事件，不能证明历史证券状态快照。
szse-ann-000100-all-p3-20250806,000100,announcement_search_result,data/manual/stage8/security_status/sources/SZ/000100/szse_announcements_000100_all_p03.json,2025-07-25,https://www.szse.cn/api/disc/announcement/annList,542b59a348dc2bf3ea16f1294e8567896decbf4146ead368201edbf396f8d689,EVENT_SEARCH_SUPPORT_ONLY,EVENT_SEARCH_ONLY,EVENT_SEARCH_ONLY,NOT_BOUNDARY_EVIDENCE,公告检索支持seDate日期范围，但只反映公告事件，不能证明历史证券状态快照。
szse-ann-000100-all-p4-20250806,000100,announcement_search_result,data/manual/stage8/security_status/sources/SZ/000100/szse_announcements_000100_all_p04.json,2025-07-25,https://www.szse.cn/api/disc/announcement/annList,9ef2dee5b456ecb4ffecd135d836b38c2e7124c4743b1b2ace82e71d05c4ce01,EVENT_SEARCH_SUPPORT_ONLY,EVENT_SEARCH_ONLY,EVENT_SEARCH_ONLY,NOT_BOUNDARY_EVIDENCE,公告检索支持seDate日期范围，但只反映公告事件，不能证明历史证券状态快照。
szse-ann-000100-all-p5-20250806,000100,announcement_search_result,data/manual/stage8/security_status/sources/SZ/000100/szse_announcements_000100_all_p05.json,2025-07-25,https://www.szse.cn/api/disc/announcement/annList,a5d3f2929514fc64f95117e13811f21903eebcef52b41c844b86a433f6985777,EVENT_SEARCH_SUPPORT_ONLY,EVENT_SEARCH_ONLY,EVENT_SEARCH_ONLY,NOT_BOUNDARY_EVIDENCE,公告检索支持seDate日期范围，但只反映公告事件，不能证明历史证券状态快照。
szse-ann-000100-all-p6-20250806,000100,announcement_search_result,data/manual/stage8/security_status/sources/SZ/000100/szse_announcements_000100_all_p06.json,2025-07-25,https://www.szse.cn/api/disc/announcement/annList,a1a9efd0db2fd1f3093ce1ffbea2b73eacf78f0d2e9064674ba3f3cb01d9c1d0,EVENT_SEARCH_SUPPORT_ONLY,EVENT_SEARCH_ONLY,EVENT_SEARCH_ONLY,NOT_BOUNDARY_EVIDENCE,公告检索支持seDate日期范围，但只反映公告事件，不能证明历史证券状态快照。
szse-ann-000100-riskwarning-p1-20250806,000100,announcement_search_result,data/manual/stage8/security_status/sources/SZ/000100/szse_announcements_000100_riskwarning_p01.json,2025-07-25,https://www.szse.cn/api/disc/announcement/annList,623a2b4aa0de75d0685242ca41fe14e9eadb493315e17194845035fa58c6ef83,EVENT_SEARCH_SUPPORT_ONLY,EVENT_SEARCH_ONLY,EVENT_SEARCH_ONLY,NOT_BOUNDARY_EVIDENCE,公告检索支持seDate日期范围，但只反映公告事件，不能证明历史证券状态快照。
szse-ann-000100-namechange-p1-20250806,000100,announcement_search_result,data/manual/stage8/security_status/sources/SZ/000100/szse_announcements_000100_namechange_p01.json,2025-07-25,https://www.szse.cn/api/disc/announcement/annList,623a2b4aa0de75d0685242ca41fe14e9eadb493315e17194845035fa58c6ef83,EVENT_SEARCH_SUPPORT_ONLY,EVENT_SEARCH_ONLY,EVENT_SEARCH_ONLY,NOT_BOUNDARY_EVIDENCE,公告检索支持seDate日期范围，但只反映公告事件，不能证明历史证券状态快照。
