symbol,report_period,announcement_date,line_item_name_source,line_item_value,unit_canonical
300274,2023-06-30,2023-08-25,PARENT_NETPROFIT,4.35408e+09,CNY_yuan
300274,2023-06-30,2023-08-25,TOTAL_OPERATE_INCOME,2.86222e+10,CNY_yuan
300274,2023-09-30,2023-10-28,PARENT_NETPROFIT,7.22298e+09,CNY_yuan
300274,2023-09-30,2023-10-28,TOTAL_OPERATE_INCOME,4.64146e+10,CNY_yuan
300274,2023-12-31,2024-04-23,PARENT_NETPROFIT,9.43956e+09,CNY_yuan
300274,2023-12-31,2024-04-23,TOTAL_OPERATE_INCOME,7.22507e+10,CNY_yuan
300274,2024-03-31,2024-04-23,PARENT_NETPROFIT,2.09632e+09,CNY_yuan
300274,2024-03-31,2024-04-23,TOTAL_OPERATE_INCOME,1.26136e+10,CNY_yuan
300274,2024-06-30,2024-08-24,PARENT_NETPROFIT,4.95907e+09,CNY_yuan
300274,2024-06-30,2024-08-24,TOTAL_OPERATE_INCOME,3.10198e+10,CNY_yuan
300274,2024-09-30,2024-10-31,PARENT_NETPROFIT,7.59955e+09,CNY_yuan
300274,2024-09-30,2024-10-31,TOTAL_OPERATE_INCOME,4.9946e+10,CNY_yuan
300274,2024-12-31,2025-04-26,PARENT_NETPROFIT,1.10363e+10,CNY_yuan
300274,2024-12-31,2025-04-26,TOTAL_OPERATE_INCOME,7.7857e+10,CNY_yuan
300274,2025-03-31,2025-04-26,PARENT_NETPROFIT,3.82616e+09,CNY_yuan
300274,2025-03-31,2025-04-26,TOTAL_OPERATE_INCOME,1.90364e+10,CNY_yuan
300274,2025-06-30,2025-08-26,PARENT_NETPROFIT,7.73458e+09,CNY_yuan
300274,2025-06-30,2025-08-26,TOTAL_OPERATE_INCOME,4.35331e+10,CNY_yuan
300274,2025-09-30,2025-10-29,PARENT_NETPROFIT,1.18812e+10,CNY_yuan
300274,2025-09-30,2025-10-29,TOTAL_OPERATE_INCOME,6.64019e+10,CNY_yuan
300274,2025-12-31,2026-04-01,PARENT_NETPROFIT,1.34613e+10,CNY_yuan
300274,2025-12-31,2026-04-01,TOTAL_OPERATE_INCOME,8.91844e+10,CNY_yuan
300274,2026-03-31,2026-04-28,PARENT_NETPROFIT,2.29127e+09,CNY_yuan
300274,2026-03-31,2026-04-28,TOTAL_OPERATE_INCOME,1.55606e+10,CNY_yuan
