symbol,qfq_rows,qfq_start,qfq_end,raw_rows,raw_start,raw_end,exchange,feature_rows,ma_3_rows,ma_5_rows,ma_7_rows,ma_10_rows,ma_13_rows,ma_20_rows,ma_21_rows,financial_statement_rows,latest_report_period,revenue_rows,parent_net_profit_rows,valuation_snapshot_at,pe_dynamic,pb,lookback_days,observation_count,activity_score,score_status,event_component_source,style_label,style_confidence,style_explanation,abnormal_volume_evidence,turnover_change_evidence,fund_flow_persistence_evidence,price_volume_divergence_evidence,limit_event_evidence,evidence_count,confidence_score,confidence_level,evidence_summary,insufficient_evidence,formal_limit_up_count,formal_limit_down_count,uncertain_limit_days,price_volume_status,moving_average_status,moving_average_note,fundamental_status,valuation_status,valuation_note,activity_status,style_status,suspected_behavior_status,limit_event_status,next_open_status,price_gap_note,payoff_ratio_status,payoff_ratio_note,overall_status
000100,726,2023-07-27,2026-07-27,726,2023-07-27,2026-07-27,SZ,726,724,722,720,717,714,707,706,68896,2026-03-31,96,96,2026-07-29 11:35:34.785065+08,16.27,1.67,120,120,0.709375,scored,gap_proxy,证据不足,,冻结配置未提供风格分类阈值；仅保留中性横盘特征，不作确定性分类,0.05,0.04218666666666667,,,,2,,证据不足,疑似主力行为特征：仅记录中性量价与资金流证据；冻结配置未定义置信度公式，不能推断任何个人或机构意图,True,0,0,242,完整,完整,七组均线有效行数均符合N日滚动窗口预热规则,完整,部分存在,快照晚于基准日，禁止回填为历史PE/PB,完整,完整,证据不足,不可正式发布,不可正式发布,,缺失,收益分布盈亏比尚未落库；策略盈亏比须另行定义交易规则,部分存在
002067,726,2023-07-27,2026-07-27,726,2023-07-27,2026-07-27,SZ,726,724,722,720,717,714,707,706,61542,2026-03-31,85,85,2026-07-29 11:35:34.785065+08,74.05,0.94,120,120,0.5640625,scored,gap_proxy,证据不足,,冻结配置未提供风格分类阈值；仅保留中性横盘特征，不作确定性分类,0.06666666666666667,0.04346166666666666,,,,2,,证据不足,疑似主力行为特征：仅记录中性量价与资金流证据；冻结配置未定义置信度公式，不能推断任何个人或机构意图,True,0,0,242,完整,完整,七组均线有效行数均符合N日滚动窗口预热规则,完整,部分存在,快照晚于基准日，禁止回填为历史PE/PB,完整,完整,证据不足,不可正式发布,不可正式发布,,缺失,收益分布盈亏比尚未落库；策略盈亏比须另行定义交易规则,部分存在
002129,726,2023-07-27,2026-07-27,726,2023-07-27,2026-07-27,SZ,726,724,722,720,717,714,707,706,60010,2026-03-31,83,83,2026-07-29 11:35:34.785065+08,-5.19,1.71,120,120,0.721875,scored,gap_proxy,证据不足,,冻结配置未提供风格分类阈值；仅保留中性横盘特征，不作确定性分类,0.08333333333333333,0.050618333333333335,,,,2,,证据不足,疑似主力行为特征：仅记录中性量价与资金流证据；冻结配置未定义置信度公式，不能推断任何个人或机构意图,True,0,0,242,完整,完整,七组均线有效行数均符合N日滚动窗口预热规则,完整,部分存在,快照晚于基准日，禁止回填为历史PE/PB,完整,完整,证据不足,不可正式发布,不可正式发布,,缺失,收益分布盈亏比尚未落库；策略盈亏比须另行定义交易规则,部分存在
002230,726,2023-07-27,2026-07-27,726,2023-07-27,2026-07-27,SZ,726,724,722,720,717,714,707,706,57074,2026-03-31,79,79,2026-07-29 11:35:34.785065+08,-141.25,4.24,120,120,0.29531250000000003,scored,gap_proxy,证据不足,,冻结配置未提供风格分类阈值；仅保留中性横盘特征，不作确定性分类,0.0,0.023005,,,,2,,证据不足,疑似主力行为特征：仅记录中性量价与资金流证据；冻结配置未定义置信度公式，不能推断任何个人或机构意图,True,0,0,242,完整,完整,七组均线有效行数均符合N日滚动窗口预热规则,完整,部分存在,快照晚于基准日，禁止回填为历史PE/PB,完整,完整,证据不足,不可正式发布,不可正式发布,,缺失,收益分布盈亏比尚未落库；策略盈亏比须另行定义交易规则,部分存在
002361,726,2023-07-27,2026-07-27,726,2023-07-27,2026-07-27,SZ,726,724,722,720,717,714,707,706,52240,2026-03-31,72,72,2026-07-29 11:35:34.785065+08,-411.61,3.96,120,120,0.9078124999999999,scored,gap_proxy,证据不足,,冻结配置未提供风格分类阈值；仅保留中性横盘特征，不作确定性分类,0.06666666666666667,0.22090333333333334,,,,2,,证据不足,疑似主力行为特征：仅记录中性量价与资金流证据；冻结配置未定义置信度公式，不能推断任何个人或机构意图,True,0,0,242,完整,完整,七组均线有效行数均符合N日滚动窗口预热规则,完整,部分存在,快照晚于基准日，禁止回填为历史PE/PB,完整,完整,证据不足,不可正式发布,不可正式发布,,缺失,收益分布盈亏比尚未落库；策略盈亏比须另行定义交易规则,部分存在
002600,726,2023-07-27,2026-07-27,726,2023-07-27,2026-07-27,SZ,726,724,722,720,717,714,707,706,48266,2026-03-31,67,67,2026-07-29 11:35:34.785065+08,62.3,4.03,120,120,0.6125,scored,gap_proxy,证据不足,,冻结配置未提供风格分类阈值；仅保留中性横盘特征，不作确定性分类,0.041666666666666664,0.024799166666666664,,,,2,,证据不足,疑似主力行为特征：仅记录中性量价与资金流证据；冻结配置未定义置信度公式，不能推断任何个人或机构意图,True,0,0,242,完整,完整,七组均线有效行数均符合N日滚动窗口预热规则,完整,部分存在,快照晚于基准日，禁止回填为历史PE/PB,完整,完整,证据不足,不可正式发布,不可正式发布,,缺失,收益分布盈亏比尚未落库；策略盈亏比须另行定义交易规则,部分存在
300274,726,2023-07-27,2026-07-27,726,2023-07-27,2026-07-27,SZ,726,724,722,720,717,714,707,706,47102,2026-03-31,65,65,2026-07-29 11:35:34.785065+08,23.39,4.54,120,120,0.8171875000000002,scored,gap_proxy,证据不足,,冻结配置未提供风格分类阈值；仅保留中性横盘特征，不作确定性分类,0.03333333333333333,0.047024166666666666,,,,2,,证据不足,疑似主力行为特征：仅记录中性量价与资金流证据；冻结配置未定义置信度公式，不能推断任何个人或机构意图,True,0,0,242,完整,完整,七组均线有效行数均符合N日滚动窗口预热规则,完整,部分存在,快照晚于基准日，禁止回填为历史PE/PB,完整,完整,证据不足,不可正式发布,不可正式发布,,缺失,收益分布盈亏比尚未落库；策略盈亏比须另行定义交易规则,部分存在
300433,726,2023-07-27,2026-07-27,726,2023-07-27,2026-07-27,SZ,726,724,722,720,717,714,707,706,37560,2026-03-31,52,52,2026-07-29 11:35:34.785065+08,-283.34,3.24,120,120,0.7546875000000001,scored,gap_proxy,证据不足,,冻结配置未提供风格分类阈值；仅保留中性横盘特征，不作确定性分类,0.025,0.024945000000000002,,,,2,,证据不足,疑似主力行为特征：仅记录中性量价与资金流证据；冻结配置未定义置信度公式，不能推断任何个人或机构意图,True,0,0,242,完整,完整,七组均线有效行数均符合N日滚动窗口预热规则,完整,部分存在,快照晚于基准日，禁止回填为历史PE/PB,完整,完整,证据不足,不可正式发布,不可正式发布,,缺失,收益分布盈亏比尚未落库；策略盈亏比须另行定义交易规则,部分存在
600231,726,2023-07-27,2026-07-27,726,2023-07-27,2026-07-27,SH,726,724,722,720,717,714,707,706,75870,2026-03-31,105,105,2026-07-29 11:35:34.785065+08,-2.52,1.35,120,120,0.265625,scored,gap_proxy,证据不足,,冻结配置未提供风格分类阈值；仅保留中性横盘特征，不作确定性分类,0.05,0.009874166666666665,,,,2,,证据不足,疑似主力行为特征：仅记录中性量价与资金流证据；冻结配置未定义置信度公式，不能推断任何个人或机构意图,True,0,0,242,完整,完整,七组均线有效行数均符合N日滚动窗口预热规则,完整,部分存在,快照晚于基准日，禁止回填为历史PE/PB,完整,完整,证据不足,不可正式发布,不可正式发布,,缺失,收益分布盈亏比尚未落库；策略盈亏比须另行定义交易规则,部分存在
600438,716,2023-07-27,2026-07-27,716,2023-07-27,2026-07-27,SH,716,714,712,710,707,704,697,696,68896,2026-03-31,96,96,2026-07-29 11:35:34.785065+08,-5.3,1.48,120,120,0.3578125,scored,gap_proxy,证据不足,,冻结配置未提供风格分类阈值；仅保留中性横盘特征，不作确定性分类,0.025,0.015043333333333332,,,,2,,证据不足,疑似主力行为特征：仅记录中性量价与资金流证据；冻结配置未定义置信度公式，不能推断任何个人或机构意图,True,0,0,232,完整,完整,七组均线有效行数均符合N日滚动窗口预热规则,完整,部分存在,快照晚于基准日，禁止回填为历史PE/PB,完整,完整,证据不足,不可正式发布,不可正式发布,比样本共同最大行数少10日；缺少权威证券状态历史，不能仅凭行情确认是否停牌,缺失,收益分布盈亏比尚未落库；策略盈亏比须另行定义交易规则,部分存在
