run_id,check_name,severity,status,observed_value,expected_value,message,checked_at
stage11-ethusdt-20260727,symbol_unique,ERROR,PASS,['ETHUSDT'],['ETHUSDT'],,2026-08-01 17:31:46.560636+00:00
stage11-ethusdt-20260727,utc_consistent,ERROR,PASS,0,0,,2026-08-01 17:31:46.560636+00:00
stage11-ethusdt-20260727,primary_key_unique,ERROR,PASS,0,0,,2026-08-01 17:31:46.560636+00:00
stage11-ethusdt-20260727,time_continuity,ERROR,PASS,0,0,24/7 bars must not use an equity trading calendar,2026-08-01 17:31:46.560636+00:00
stage11-ethusdt-20260727,ohlc_reasonable,ERROR,PASS,0,0,,2026-08-01 17:31:46.560636+00:00
stage11-ethusdt-20260727,volume_non_negative,ERROR,PASS,0,0,,2026-08-01 17:31:46.560636+00:00
stage11-ethusdt-20260727,no_future_data,ERROR,PASS,0,0,,2026-08-01 17:31:46.560636+00:00
stage11-ethusdt-20260727,run_consistent,ERROR,PASS,['stage11-ethusdt-20260727'],['stage11-ethusdt-20260727'],,2026-08-01 17:31:46.560636+00:00
stage11-ethusdt-20260727,weekend_trading_supported,ERROR,PASS,288,>0,,2026-08-01 17:31:46.560636+00:00
stage11-ethusdt-20260727,twenty_four_hour_coverage,ERROR,PASS,40,>0 complete UTC days,,2026-08-01 17:31:46.560636+00:00
stage11-ethusdt-20260727,csv_json_duckdb_consistency,ERROR,PASS,f2cbaa2301a3db41ff56e5103735fdcb3d5c0a1a66756af572546122a3f15348,f2cbaa2301a3db41ff56e5103735fdcb3d5c0a1a66756af572546122a3f15348,canonical Stage 11 price projection hash,2026-08-01 17:31:46.609831+00:00
