symbol,report_period,announcement_date,line_item_name_source,line_item_value,unit_canonical
601636,2023-06-30,2023-08-29,PARENT_NETPROFIT,6.47188e+08,CNY_yuan
601636,2023-06-30,2023-08-29,TOTAL_OPERATE_INCOME,6.88499e+09,CNY_yuan
601636,2023-09-30,2023-10-14,PARENT_NETPROFIT,1.24333e+09,CNY_yuan
601636,2023-09-30,2023-10-14,TOTAL_OPERATE_INCOME,1.11845e+10,CNY_yuan
601636,2023-12-31,2024-04-25,PARENT_NETPROFIT,1.75088e+09,CNY_yuan
601636,2023-12-31,2024-04-25,TOTAL_OPERATE_INCOME,1.56827e+10,CNY_yuan
601636,2024-03-31,2024-04-25,PARENT_NETPROFIT,4.41901e+08,CNY_yuan
601636,2024-03-31,2024-04-25,TOTAL_OPERATE_INCOME,3.85717e+09,CNY_yuan
601636,2024-06-30,2024-08-28,PARENT_NETPROFIT,8.11233e+08,CNY_yuan
601636,2024-06-30,2024-08-28,TOTAL_OPERATE_INCOME,7.91193e+09,CNY_yuan
601636,2024-09-30,2024-10-30,PARENT_NETPROFIT,6.9914e+08,CNY_yuan
601636,2024-09-30,2024-10-30,TOTAL_OPERATE_INCOME,1.16005e+10,CNY_yuan
601636,2024-12-31,2025-04-25,PARENT_NETPROFIT,3.82587e+08,CNY_yuan
601636,2024-12-31,2025-04-25,TOTAL_OPERATE_INCOME,1.56492e+10,CNY_yuan
601636,2025-03-31,2025-04-25,PARENT_NETPROFIT,4.70087e+08,CNY_yuan
601636,2025-03-31,2025-04-25,TOTAL_OPERATE_INCOME,3.48399e+09,CNY_yuan
601636,2025-06-30,2025-08-28,PARENT_NETPROFIT,8.90518e+08,CNY_yuan
601636,2025-06-30,2025-08-28,TOTAL_OPERATE_INCOME,7.39332e+09,CNY_yuan
601636,2025-09-30,2025-10-31,PARENT_NETPROFIT,9.15191e+08,CNY_yuan
601636,2025-09-30,2025-10-31,TOTAL_OPERATE_INCOME,1.17804e+10,CNY_yuan
601636,2025-12-31,2026-04-23,PARENT_NETPROFIT,6.19048e+08,CNY_yuan
601636,2025-12-31,2026-04-23,TOTAL_OPERATE_INCOME,1.57373e+10,CNY_yuan
601636,2026-03-31,2026-04-23,PARENT_NETPROFIT,1.31145e+07,CNY_yuan
601636,2026-03-31,2026-04-23,TOTAL_OPERATE_INCOME,3.56799e+09,CNY_yuan
